id_employee,Name,last_name,gender,email,area,salary,type,finish_date
19-8183985,Harlen,Belfield,male,Harlen_Be_H@company.com,Training,108349,hybridic,"2025-01-04 18:01:00"
62-2253511,Jessamyn,Heliet,woman,Jessamyn_He_R@company.com,Engineering,106668,remote,"2024-12-26 17:11:19"
63-8010204,Carroll,Rodgier,woman,Carroll_Ro_H@company.com,"Human Resources",112116,hybridic,"2024-12-24 05:33:26"
58-2916320,Barton,Jory,male,Barton_Jo_H@company.com,Engineering,120261,hybridic,"2024-12-19 10:50:15"
21-2175869,Cloe,Kroon,male,Cloe_Kr_H@company.com,"Human Resources",112121,hybridic,"2024-12-18 20:18:44"
66-5899599,Cecilia,Greep,male,Cecilia_Gr_R@company.com,Engineering,164038,remote,"2024-12-15 05:00:07"
36-6165761,Chiarra,Persian,woman,Chiarra_Pe_H@company.com,"Business Development",138729,hybridic,"2024-12-13 19:05:50"
53-1985096,Mattheus,"Le Count",male,Mattheus_Le_H@company.com,"Human Resources",93468,hybridic,"2024-12-08 18:10:35"
00-1792130,Nobe,Leathe,male,Nobe_Le_R@company.com,Engineering,174045,remote,"2024-12-07 02:16:22"
13-9351478,Tedda,Stirtle,woman,Tedda_St_H@company.com,Accounting,148177,hybridic,"2024-12-05 08:31:33"
32-3432711,Waldo,Bettaney,woman,Waldo_Be_R@company.com,Engineering,184015,remote,"2024-12-02 11:20:23"
29-9451675,Sandie,Moorerud,woman,Sandie_Mo_R@company.com,Engineering,66168,remote,"2024-12-01 06:51:02"
15-7663342,Samaria,Christiensen,woman,Samaria_Ch_R@company.com,Engineering,75385,remote,"2024-11-28 13:28:45"
63-1499330,Gillian,Traves,woman,Gillian_Tr_H@company.com,Services,70326,hybridic,"2024-11-24 03:28:15"
14-9599620,Celeste,Shortall,woman,Celeste_Sh_H@company.com,Engineering,119974,hybridic,"2024-11-23 08:00:49"
11-0364894,Marjory,Leefe,male,Marjory_Le_H@company.com,Engineering,160812,hybridic,"2024-11-21 08:44:47"
62-5713411,Pauline,Sivier,male,Pauline_Si_R@company.com,Engineering,112673,remote,"2024-11-20 22:00:53"
43-2734816,Peterus,Dormer,woman,Peterus_Do_R@company.com,Sales,137832,remote,"2024-11-11 18:30:46"
67-3345747,Mae,Wilcox,woman,Mae_Wi_R@company.com,Training,85637,remote,"2024-11-10 14:32:03"
45-6902299,Cacilie,Robillard,male,Cacilie_Ro_H@company.com,Sales,171919,hybridic,"2024-11-06 20:30:28"
54-1645640,Rabbi,Absalom,male,Rabbi_Ab_H@company.com,Legal,93262,hybridic,"2024-10-23 05:27:02"
20-9332157,Iosep,Patise,woman,Iosep_Pa_R@company.com,Sales,124765,remote,"2024-10-22 01:45:43"
36-3104325,Rayna,Vasilevich,woman,Rayna_Va_H@company.com,Accounting,140709,hybridic,"2024-10-14 19:14:27"
00-1277358,Lola,Burrells,male,Lola_Bu_R@company.com,"Human Resources",132408,remote,"2024-10-09 10:07:08"
38-2971324,Ethelin,Witheridge,woman,Ethelin_Wi_H@company.com,"Business Development",99300,hybridic,"2024-10-08 03:24:04"
22-2827789,Damiano,Ramalho,woman,Damiano_Ra_H@company.com,Engineering,126858,hybridic,"2024-10-03 21:35:14"
21-9898355,Bernardo,Stenners,woman,Bernardo_St_H@company.com,"Research and Development",80273,hybridic,"2024-09-25 23:22:15"
60-9486841,Petrina,Stendall,male,Petrina_St_H@company.com,"Research and Development",74239,hybridic,"2024-09-22 19:21:00"
28-0539170,Kelcey,Bartlomieczak,woman,Kelcey_Ba_R@company.com,Sales,152720,remote,"2024-09-21 10:03:05"
29-6536811,Katrinka,Carneck,male,Katrinka_Ca_R@company.com,Services,168918,remote,"2024-09-19 04:40:19"
38-8615075,Laverna,Francello,male,Laverna_Fr_H@company.com,Services,107387,hybridic,"2024-09-18 20:39:55"
68-5551931,Janot,Brailey,woman,Janot_Br_R@company.com,Training,155043,remote,"2024-09-18 07:31:31"
19-6003102,Didi,Maier,male,Didi_Ma_H@company.com,Sales,140138,hybridic,"2024-09-17 08:31:23"
10-4944245,Maud,"Di Franceshci",male,Maud_Di_H@company.com,"Business Development",95058,hybridic,"2024-09-14 08:45:53"
15-2963580,Gareth,Meier,male,Gareth_Me_H@company.com,Engineering,127601,hybridic,"2024-09-11 16:09:20"
11-8794158,Clifford,Bolletti,woman,Clifford_Bo_R@company.com,"Business Development",77404,remote,"2024-09-11 00:21:54"
10-3175898,Wayland,Gollop,male,Wayland_Go_H@company.com,Accounting,173405,hybridic,"2024-09-10 20:01:07"
66-5403790,Erroll,Chasmor,male,Erroll_Ch_R@company.com,"Business Development",179597,remote,"2024-09-09 01:06:02"
59-7262935,Marven,Farre,male,Marven_Fa_H@company.com,"Business Development",166506,hybridic,"2024-09-06 00:41:13"
21-6140863,Prisca,Choulerton,woman,Prisca_Ch_H@company.com,"Human Resources",181727,hybridic,"2024-09-05 23:48:32"
12-1063276,Davey,Nottingham,male,Davey_No_H@company.com,"Human Resources",182238,hybridic,"2024-09-01 20:32:18"
59-4775668,Maud,Sitlinton,woman,Maud_Si_R@company.com,Engineering,177410,remote,"2024-08-26 06:40:52"
32-4061243,Sorcha,Carnachen,woman,Sorcha_Ca_R@company.com,Engineering,77783,remote,"2024-08-25 19:31:09"
54-0440611,Gaultiero,Duchart,male,Gaultiero_Du_R@company.com,Accounting,177623,remote,"2024-08-24 01:59:27"
67-5688156,Elna,Dy,male,Elna_Dy_R@company.com,Engineering,71704,remote,"2024-08-21 01:09:55"
32-1341136,Sharla,Covell,woman,Sharla_Co_H@company.com,Engineering,94832,hybridic,"2024-08-19 04:00:38"
35-5612198,Ebeneser,Yakovl,male,Ebeneser_Ya_R@company.com,Engineering,98194,remote,"2024-08-18 22:44:07"
